id,season_id,champion_team_id,runner_up_team_id,mvp_player_id,result_label
1,1,5,14,2,"NBA Finals: Bulls 4-1 Lakers"
2,2,5,14,2,"NBA Finals: Bulls 4-2 Lakers"
3,3,5,24,2,"NBA Finals: Bulls 4-2 Suns"
4,6,5,28,2,"NBA Finals: Bulls 4-2 Supersonics"
5,7,5,29,2,"NBA Finals: Bulls 4-2 Jazz"
6,8,5,29,2,"NBA Finals: Bulls 4-2 Jazz"
7,9,27,20,9,"NBA Finals: Spurs 4-1 Knicks"
8,10,14,12,8,"NBA Finals: Lakers 4-2 Pacers"
9,11,14,23,8,"NBA Finals: Lakers 4-1 Sixers"
10,12,14,9,8,"NBA Finals: Lakers 4-0 Nets"
11,13,27,9,9,"NBA Finals: Spurs 4-2 Pistons"
12,14,9,14,10,"NBA Finals: Pistons 4-1 Lakers"
13,15,27,9,9,"NBA Finals: Spurs 4-3 Pistons"
14,16,16,7,17,"NBA Finals: Heat 4-2 Mavericks"
15,17,27,14,11,"NBA Finals: Spurs 4-0 Cavaliers"
16,18,2,14,10,"NBA Finals: Celtics 4-2 Lakers"
17,19,14,5,10,"NBA Finals: Lakers 4-1 Magic"
18,20,14,2,10,"NBA Finals: Lakers 4-3 Celtics"
19,21,7,16,16,"NBA Finals: Mavericks 4-2 Heat"
20,22,16,21,3,"NBA Finals: Heat 4-1 Thunder"
21,23,16,27,3,"NBA Finals: Heat 4-3 Spurs"
22,24,27,16,31,"NBA Finals: Spurs 4-1 Heat"
23,25,10,7,13,"NBA Finals: Warriors 4-2 Cavaliers"
24,26,10,6,3,"NBA Finals: Cavaliers 4-3 Warriors"
25,27,10,6,12,"NBA Finals: Warriors 4-1 Cavaliers"
26,28,10,6,12,"NBA Finals: Warriors 4-0 Cavaliers"
27,29,28,10,31,"NBA Finals: Raptors 4-2 Warriors"
28,30,14,16,3,"NBA Finals: Lakers 4-2 Heat"
29,31,17,24,14,"NBA Finals: Bucks 4-2 Suns"
30,32,10,2,13,"NBA Finals: Warriors 4-2 Celtics"
31,33,8,16,32,"NBA Finals: Nuggets 4-1 Heat"
