id,date,home_team_id,away_team_id,home_score,away_score,season_id,stage
1,1991-06-02,5,14,108,98,1,Finals
2,1991-06-05,5,14,107,86,1,Finals
3,1991-06-07,14,5,104,96,1,Finals
4,1991-06-09,14,5,101,93,1,Finals
5,1991-06-12,5,14,97,82,1,Finals
6,1996-06-05,5,28,107,90,6,Finals
7,1996-06-07,5,28,92,88,6,Finals
8,1996-06-09,28,5,86,108,6,Finals
9,1996-06-12,28,5,86,107,6,Finals
10,1996-06-14,28,5,89,86,6,Finals
11,1996-06-16,5,28,87,75,6,Finals
12,1998-06-03,29,5,88,85,8,Finals
13,1998-06-05,29,5,88,93,8,Finals
14,1998-06-07,5,29,96,54,8,Finals
15,1998-06-10,5,29,86,82,8,Finals
16,1998-06-12,29,5,83,81,8,Finals
17,1998-06-14,5,29,87,86,8,Finals
18,2016-06-19,10,6,93,89,26,Finals
19,2016-06-16,6,10,115,101,26,Finals
20,2016-06-13,10,6,97,112,26,Finals
21,2023-06-01,8,16,104,93,33,Finals
22,2023-06-04,8,16,108,111,33,Finals
23,2023-06-07,16,8,94,109,33,Finals
24,2023-06-09,16,8,95,108,33,Finals
25,2023-06-12,8,16,94,89,33,Finals
