id,player_id,team_id,season_id,games_played,points,rebounds,assists,steals,blocks,minutes,fg_pct,three_pct,ft_pct
1,1,14,1,78,1754,593,178,56,171,2954,0.537,0.000,0.722
2,2,5,1,82,2580,574,488,211,112,3034,0.539,0.312,0.851
3,2,5,2,80,2404,511,489,183,71,3102,0.519,0.270,0.832
4,2,5,3,78,2541,528,423,190,88,3067,0.495,0.352,0.843
5,2,5,6,82,2491,544,452,181,71,3092,0.495,0.427,0.834
6,2,5,7,82,2637,482,454,150,49,3012,0.486,0.374,0.833
7,2,5,8,82,2357,467,283,141,44,3021,0.465,0.238,0.784
8,3,14,21,79,2111,549,512,113,66,2945,0.510,0.330,0.759
9,3,14,22,62,1683,450,387,97,49,2314,0.531,0.362,0.771
10,3,16,23,76,2036,610,521,124,65,2869,0.565,0.406,0.753
11,3,16,24,77,2089,533,507,118,28,2837,0.567,0.379,0.750
12,3,14,25,69,1743,419,501,107,52,2561,0.488,0.354,0.710
13,3,14,26,74,1920,533,546,110,50,2722,0.520,0.309,0.731
14,3,14,27,74,1954,628,648,98,44,2834,0.548,0.363,0.674
15,4,14,1,79,1765,586,858,127,31,2856,0.521,0.320,0.906
16,4,14,2,77,1765,544,785,141,25,2843,0.499,0.278,0.881
17,5,2,1,82,2060,678,516,131,68,3044,0.496,0.389,0.891
18,5,2,2,80,1950,750,471,120,66,3060,0.491,0.406,0.876
19,5,2,3,82,2024,714,507,130,76,3131,0.510,0.358,0.895
20,6,23,1,80,2581,1189,173,0,0,3060,0.509,0.000,0.613
21,6,23,2,80,2525,1194,168,0,0,3080,0.506,0.000,0.601
22,6,23,3,80,2542,1124,183,0,0,3012,0.518,0.000,0.582
23,7,2,1,78,1168,1521,312,0,0,3024,0.434,0.000,0.541
24,7,2,2,80,1210,1480,308,0,0,3089,0.428,0.000,0.521
25,8,14,6,79,1726,818,231,47,170,2643,0.568,0.000,0.514
26,8,14,7,81,1963,872,252,53,188,2938,0.569,0.000,0.560
27,8,17,10,79,2045,982,210,46,189,3012,0.575,0.000,0.500
28,9,27,8,82,1754,958,213,56,204,2940,0.549,0.000,0.690
29,9,27,9,50,1160,580,115,40,126,1976,0.580,0.000,0.680
30,9,27,12,82,1989,988,310,57,219,3120,0.552,0.000,0.635
31,10,14,7,79,1966,423,365,131,48,2950,0.501,0.315,0.848
32,10,14,8,80,2122,432,402,126,38,3060,0.492,0.301,0.835
33,10,14,10,68,1796,386,332,102,48,2720,0.510,0.324,0.868
34,11,11,5,80,1976,808,262,145,258,3090,0.544,0.000,0.761
35,11,11,6,72,1944,790,268,124,246,2800,0.560,0.000,0.748
36,12,21,14,82,2068,589,346,92,72,2930,0.465,0.405,0.898
37,12,21,15,78,1992,543,310,85,58,2780,0.462,0.380,0.869
38,12,10,27,62,1558,524,302,61,76,2430,0.471,0.397,0.865
39,12,10,28,68,1824,491,338,54,51,2504,0.510,0.417,0.862
40,13,10,25,80,1900,348,618,156,18,2820,0.487,0.443,0.914
41,13,10,26,79,2056,412,515,147,16,2860,0.504,0.454,0.908
42,13,10,27,82,1986,368,513,141,20,2840,0.468,0.411,0.898
43,13,10,28,81,2105,436,491,118,12,2810,0.487,0.423,0.912
