id,first_name,last_name,position,height,weight,birth_date,college,drafted_year,bio
1,Kareem,Abdul-Jabbar,C,7-2,225,1947-04-16,UCLA,1969,Legendary center and all-time leading scorer with 38387 points. Won 6 NBA championships and 6 MVP awards.
2,Michael,Jordan,SG,6-6,216,1963-02-17,North Carolina,1984,Widely considered the greatest basketball player of all time. Won 6 NBA championships with the Chicago Bulls.
3,LeBron,James,SF,6-9,250,1984-12-30,St. Vincent-St. Mary HS,2003,Four-time NBA champion and all-time leading scorer in NBA history. Known for unprecedented longevity and versatility.
4,Magic,Johnson,PG,6-9,255,1959-08-14,Michigan State,1979,Revolutionary point guard who led the Showtime Lakers to 5 NBA championships. 3-time MVP and 3-time Finals MVP.
5,Larry,Bird,SF,6-9,220,1956-12-07,Indiana State,1978,Boston Celtics legend who won 3 NBA championships and 3 MVP awards. Known for clutch shooting and basketball IQ.
6,Wilt,Chamberlain,C,7-1,275,1936-08-21,Kansas,1959,Scored 100 points in a single game and averaged 50.4 PPG in 1961-62. Won 2 NBA championships and 4 MVP awards.
7,Bill,Russell,C,6-10,220,1934-02-12,San Francisco,1956,Won 11 NBA championships in 13 seasons with the Boston Celtics. 5-time MVP and greatest winner in sports history.
8,Shaquille,O'Neal,C,7-1,325,1972-03-06,LSU,1992,Dominant center who won 4 NBA championships. 3-time Finals MVP and 15-time All-Star.
9,Tim,Duncan,PF,6-11,250,1976-04-25,Wake Forest,1997,Fundamentally sound power forward who won 5 NBA championships with the San Antonio Spurs. 2-time MVP.
10,Kobe,Bryant,SG,6-6,212,1978-08-23,Lower Merion HS,1996,5-time NBA champion with the Lakers. Known for his scoring ability and Mamba mentality. Scored 81 points in a single game.
11,Hakeem,Olajuwon,C,7-0,255,1963-01-21,Houston,1984,"2-time NBA champion and Finals MVP. Only player to win MVP, DPOY, and Finals MVP in the same season (1994)."
12,Kevin,Durant,SF,6-10,240,1988-09-29,Texas,2007,2-time NBA champion and 2-time Finals MVP. Four-time scoring champion with elite shooting.
13,Stephen,Curry,PG,6-2,185,1988-03-14,Davidson,2009,Revolutionized basketball with three-point shooting. 4-time NBA champion and 2-time MVP. All-time leader in three-pointers.
14,Giannis,Antetokounmpo,PF,6-11,242,1994-12-06,None,2013,2-time NBA MVP and 2021 NBA champion. Known as the Greek Freak for his unique combination of size and athleticism.
15,Kevin,Garnett,PF,6-11,240,1976-05-19,Farragut Academy HS,1995,2008 NBA champion and 2004 MVP. Elite defender and 15-time All-Star.
16,Dirk,Nowitzki,PF,7-0,245,1978-06-19,None,1998,2011 NBA champion and Finals MVP. 2007 MVP. Revolutionized the power forward position with perimeter shooting.
17,Dwyane,Wade,SG,6-4,220,1982-01-17,Marquette,2003,3-time NBA champion and 2006 Finals MVP. One of the greatest shot-blocking guards in NBA history.
18,Jerry,West,SG,6-2,185,1938-05-28,West Virginia,1960,NBA logo silhouette. Won 1 NBA championship and 1969 Finals MVP despite being on the losing team.
