id,year,label,start_date,end_date
1,1990,1990-91,1990-11-02,1991-06-12
2,1991,1991-92,1991-11-01,1992-06-14
3,1992,1992-93,1992-11-06,1993-06-20
4,1993,1993-94,1993-11-05,1994-06-22
5,1994,1994-95,1994-11-04,1995-06-14
6,1995,1995-96,1995-11-03,1996-06-16
7,1996,1996-97,1996-11-01,1997-06-13
8,1997,1997-98,1997-10-31,1998-06-14
9,1998,1998-99,1999-02-05,1999-06-25
10,1999,1999-00,1999-11-02,2000-06-19
11,2000,2000-01,2000-10-31,2001-06-15
12,2001,2001-02,2001-10-30,2002-06-12
13,2002,2002-03,2002-10-29,2003-06-15
14,2003,2003-04,2003-10-28,2004-06-15
15,2004,2004-05,2004-11-02,2005-06-23
16,2005,2005-06,2005-11-01,2006-06-20
17,2006,2006-07,2006-10-31,2007-06-14
18,2007,2007-08,2007-10-30,2008-06-17
19,2008,2008-09,2008-10-28,2009-06-14
20,2009,2009-10,2009-10-27,2010-06-17
21,2010,2010-11,2010-10-26,2011-06-12
22,2011,2011-12,2011-12-25,2012-06-21
23,2012,2012-13,2012-10-30,2013-06-20
24,2013,2013-14,2013-10-29,2014-06-15
25,2014,2014-15,2014-10-28,2015-06-16
26,2015,2015-16,2015-10-27,2016-06-19
27,2016,2016-17,2016-10-25,2017-06-12
28,2017,2017-18,2017-10-17,2018-06-08
29,2018,2018-19,2018-10-16,2019-06-13
30,2019,2019-20,2019-10-22,2020-10-11
31,2020,2020-21,2020-12-22,2021-07-20
32,2021,2021-22,2021-10-19,2022-06-16
33,2022,2022-23,2022-10-18,2023-06-12
