id,name,city,abbreviation,conference,division,arena,founded_year,is_active
1,Atlanta Hawks,Atlanta,ATL,Eastern,Southeast,State Farm Arena,1946,1
2,Boston Celtics,Boston,BOS,Eastern,Atlantic,TD Garden,1946,1
3,Brooklyn Nets,Brooklyn,BKN,Eastern,Atlantic,Barclays Center,1967,1
4,Charlotte Hornets,Charlotte,CHA,Eastern,Southeast,Spectrum Center,1988,1
5,Chicago Bulls,Chicago,CHI,Eastern,Central,United Center,1966,1
6,Cleveland Cavaliers,Cleveland,CLE,Eastern,Central,Rocket Mortgage FieldHouse,1970,1
7,Dallas Mavericks,Dallas,DAL,Western,Southwest,American Airlines Center,1980,1
8,Denver Nuggets,Denver,DEN,Western,Northwest,Ball Arena,1967,1
9,Detroit Pistons,Detroit,DET,Eastern,Central,Little Caesars Arena,1941,1
10,Golden State Warriors,San Francisco,GSW,Western,Pacific,Chase Center,1946,1
11,Houston Rockets,Houston,HOU,Western,Southwest,Toyota Center,1967,1
12,Indiana Pacers,Indianapolis,IND,Eastern,Central,Gainbridge Fieldhouse,1967,1
13,Los Angeles Clippers,Los Angeles,LAC,Western,Pacific,Crypto.com Arena,1970,1
14,Los Angeles Lakers,Los Angeles,LAL,Western,Pacific,Crypto.com Arena,1947,1
15,Memphis Grizzlies,Memphis,MEM,Western,Southwest,FedExForum,1995,1
16,Miami Heat,Miami,MIA,Eastern,Southeast,Kaseya Center,1988,1
17,Milwaukee Bucks,Milwaukee,MIL,Eastern,Central,Fiserv Forum,1968,1
18,Minnesota Timberwolves,Minneapolis,MIN,Western,Northwest,Target Center,1989,1
19,New Orleans Pelicans,New Orleans,NOP,Western,Southwest,Smoothie King Center,2002,1
20,New York Knicks,New York,NYK,Eastern,Atlantic,Madison Square Garden,1946,1
21,Oklahoma City Thunder,Oklahoma City,OKC,Western,Northwest,Paycom Center,1967,1
22,Orlando Magic,Orlando,ORL,Eastern,Southeast,Kia Center,1989,1
23,Philadelphia 76ers,Philadelphia,PHI,Eastern,Atlantic,Wells Fargo Center,1946,1
24,Phoenix Suns,Phoenix,PHX,Western,Pacific,Footprint Center,1968,1
25,Portland Trail Blazers,Portland,POR,Western,Northwest,Moda Center,1970,1
26,Sacramento Kings,Sacramento,SAC,Western,Pacific,Golden 1 Center,1945,1
27,San Antonio Spurs,San Antonio,SAS,Western,Southwest,Frost Bank Center,1967,1
28,Toronto Raptors,Toronto,TOR,Eastern,Atlantic,Scotiabank Arena,1995,1
29,Utah Jazz,Salt Lake City,UTA,Western,Northwest,Delta Center,1974,1
30,Washington Wizards,Washington,WAS,Eastern,Southeast,Capital One Arena,1961,1
31,Indiana Pacers (ABA),Indianapolis,INA,ABA,Eastern,Indiana State Fairgrounds,1967,0
32,San Antonio Spurs (ABA),San Antonio,SAA,ABA,Western,HemisFair Arena,1967,0
33,Denver Nuggets (ABA),Denver,DEN,ABA,Western,Denver Auditorium Arena,1967,0
34,New York Nets (ABA),New York,NYN,ABA,Eastern,Island Garden,1967,0
35,Kentucky Colonels,Louisville,KEN,ABA,Eastern,Freedom Hall,1967,0
